Experiment ID,Algorithm,Mean Validation Recall,Rank of hyperparameter set,C,gamma,kernel,accuracy,precision,recall,f1,balanced_accuracy,max_depth,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,scale_pos_weight,subsample
1,SVM,0.9267605633802816,7,0.1,scale,linear,,,,,,,,,,,,,
1,SVM,0.923943661971831,9,0.1,scale,rbf,,,,,,,,,,,,,
1,SVM,0.9211267605633802,10,0.1,scale,poly,,,,,,,,,,,,,
1,SVM,0.9267605633802816,7,0.1,auto,linear,,,,,,,,,,,,,
1,SVM,0.016901408450704224,18,0.1,auto,rbf,,,,,,,,,,,,,
1,SVM,0.9183098591549296,12,0.1,auto,poly,,,,,,,,,,,,,
1,SVM,0.9295774647887324,5,1.0,scale,linear,,,,,,,,,,,,,
1,SVM,0.943661971830986,1,1.0,scale,rbf,0.8773841961852861,0.9684357033191259,0.8773841961852861,0.9106748252347535,0.9117621552870441,,,,,,,,
1,SVM,0.9352112676056338,4,1.0,scale,poly,,,,,,,,,,,,,
1,SVM,0.9295774647887324,5,1.0,auto,linear,,,,,,,,,,,,,
1,SVM,0.05070422535211268,16,1.0,auto,rbf,,,,,,,,,,,,,
1,SVM,0.9183098591549296,12,1.0,auto,poly,,,,,,,,,,,,,
1,SVM,0.9380281690140846,2,10.0,scale,linear,,,,,,,,,,,,,
1,SVM,0.9211267605633802,10,10.0,scale,rbf,,,,,,,,,,,,,
1,SVM,0.9126760563380282,15,10.0,scale,poly,,,,,,,,,,,,,
1,SVM,0.9380281690140846,2,10.0,auto,linear,,,,,,,,,,,,,
1,SVM,0.04225352112676057,17,10.0,auto,rbf,,,,,,,,,,,,,
1,SVM,0.9154929577464788,14,10.0,auto,poly,,,,,,,,,,,,,
2,Random Forest,0.3492957746478873,103,,,,,,,,,,1.0,2.0,100.0,,,,
2,Random Forest,0.3380281690140845,106,,,,,,,,,,1.0,2.0,200.0,,,,
2,Random Forest,0.33239436619718304,107,,,,,,,,,,1.0,2.0,500.0,,,,
2,Random Forest,0.39436619718309857,96,,,,,,,,,,1.0,5.0,100.0,,,,
2,Random Forest,0.3830985915492958,98,,,,,,,,,,1.0,5.0,200.0,,,,
2,Random Forest,0.4,94,,,,,,,,,,1.0,5.0,500.0,,,,
2,Random Forest,0.4704225352112676,74,,,,,,,,,,1.0,10.0,100.0,,,,
2,Random Forest,0.476056338028169,70,,,,,,,,,,1.0,10.0,200.0,,,,
2,Random Forest,0.476056338028169,70,,,,,,,,,,1.0,10.0,500.0,,,,
2,Random Forest,0.4507042253521127,89,,,,,,,,,,2.0,2.0,100.0,,,,
2,Random Forest,0.4647887323943662,82,,,,,,,,,,2.0,2.0,200.0,,,,
2,Random Forest,0.4704225352112676,74,,,,,,,,,,2.0,2.0,500.0,,,,
2,Random Forest,0.4563380281690141,87,,,,,,,,,,2.0,5.0,100.0,,,,
2,Random Forest,0.4676056338028169,80,,,,,,,,,,2.0,5.0,200.0,,,,
2,Random Forest,0.4704225352112676,74,,,,,,,,,,2.0,5.0,500.0,,,,
2,Random Forest,0.5464788732394366,56,,,,,,,,,,2.0,10.0,100.0,,,,
2,Random Forest,0.5380281690140845,59,,,,,,,,,,2.0,10.0,200.0,,,,
2,Random Forest,0.5380281690140845,59,,,,,,,,,,2.0,10.0,500.0,,,,
2,Random Forest,0.6140845070422536,49,,,,,,,,,,4.0,2.0,100.0,,,,
2,Random Forest,0.619718309859155,45,,,,,,,,,,4.0,2.0,200.0,,,,
2,Random Forest,0.6253521126760564,39,,,,,,,,,,4.0,2.0,500.0,,,,
2,Random Forest,0.6140845070422536,49,,,,,,,,,,4.0,5.0,100.0,,,,
2,Random Forest,0.619718309859155,45,,,,,,,,,,4.0,5.0,200.0,,,,
2,Random Forest,0.6253521126760564,39,,,,,,,,,,4.0,5.0,500.0,,,,
2,Random Forest,0.6394366197183099,31,,,,,,,,,,4.0,10.0,100.0,,,,
2,Random Forest,0.6366197183098592,34,,,,,,,,,,4.0,10.0,200.0,,,,
2,Random Forest,0.6422535211267605,27,,,,,,,,,,4.0,10.0,500.0,,,,
2,Random Forest,0.6450704225352113,25,,,,,,,,,10.0,1.0,2.0,100.0,,,,
2,Random Forest,0.6535211267605634,24,,,,,,,,,10.0,1.0,2.0,200.0,,,,
2,Random Forest,0.6450704225352113,25,,,,,,,,,10.0,1.0,2.0,500.0,,,,
2,Random Forest,0.6366197183098592,34,,,,,,,,,10.0,1.0,5.0,100.0,,,,
2,Random Forest,0.6591549295774648,22,,,,,,,,,10.0,1.0,5.0,200.0,,,,
2,Random Forest,0.6563380281690141,23,,,,,,,,,10.0,1.0,5.0,500.0,,,,
2,Random Forest,0.6929577464788732,14,,,,,,,,,10.0,1.0,10.0,100.0,,,,
2,Random Forest,0.704225352112676,12,,,,,,,,,10.0,1.0,10.0,200.0,,,,
2,Random Forest,0.6901408450704225,15,,,,,,,,,10.0,1.0,10.0,500.0,,,,
2,Random Forest,0.6845070422535211,16,,,,,,,,,10.0,2.0,2.0,100.0,,,,
2,Random Forest,0.6816901408450704,17,,,,,,,,,10.0,2.0,2.0,200.0,,,,
2,Random Forest,0.6788732394366197,19,,,,,,,,,10.0,2.0,2.0,500.0,,,,
2,Random Forest,0.6732394366197183,21,,,,,,,,,10.0,2.0,5.0,100.0,,,,
2,Random Forest,0.6816901408450704,17,,,,,,,,,10.0,2.0,5.0,200.0,,,,
2,Random Forest,0.6788732394366197,19,,,,,,,,,10.0,2.0,5.0,500.0,,,,
2,Random Forest,0.6957746478873239,13,,,,,,,,,10.0,2.0,10.0,100.0,,,,
2,Random Forest,0.7070422535211267,11,,,,,,,,,10.0,2.0,10.0,200.0,,,,
2,Random Forest,0.7098591549295774,10,,,,,,,,,10.0,2.0,10.0,500.0,,,,
